pick,team,team_img,player,player_details,source,date,team_pick
8,New York Jets,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jets.svg,Mykel Williams,EDGE | Georgia,Bleacher Nation,2024-12-26,Pick 8 - New York Jets
9,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bears.svg,Will Campbell,OT | LSU,Bleacher Nation,2024-12-26,Pick 9 - Chicago Bears
10,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/assets/logos/saints.svg,James Pearce Jr.,EDGE | Tennessee,Bleacher Nation,2024-12-26,Pick 10 - New Orleans Saints
11,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/niners.svg,Nic Scourton,EDGE | Texas A&M,Bleacher Nation,2024-12-26,Pick 11 - San Francisco 49Ers
12,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/assets/logos/dolphins.svg,Malaki Starks,S | Georgia,Bleacher Nation,2024-12-26,Pick 12 - Miami Dolphins
13,Indianapolis Colts,https://d9ioojyvhqpok.cloudfront.net/assets/logos/colts.svg,Deontae Lawson,LB | AlabamaRARE,Bleacher Nation,2024-12-26,Pick 13 - Indianapolis Colts
14,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bengals.svg,Benjamin Morrison,CB | Notre Dame,Bleacher Nation,2024-12-26,Pick 14 - Cincinnati Bengals
15,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cowboys.svg,Ashton Jeanty,RB | Boise State,Bleacher Nation,2024-12-26,Pick 15 - Dallas Cowboys
16,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cardinals.svg,Derrick Harmon,DL | Oregon,Bleacher Nation,2024-12-26,Pick 16 - Arizona Cardinals
17,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bucs.svg,Tetairoa McMillan,WR | Arizona,Bleacher Nation,2024-12-26,Pick 17 - Tampa Bay Buccaneers
18,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/assets/logos/seahawks.svg,Tyler Booker,IOL | Alabama,Bleacher Nation,2024-12-26,Pick 18 - Seattle Seahawks
19,Atlanta Falcons,https://d9ioojyvhqpok.cloudfront.net/assets/logos/falcons.svg,Jalon Walker,LB | Georgia,Bleacher Nation,2024-12-26,Pick 19 - Atlanta Falcons
20,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/texans.svg,Donovan Jackson,IOL | Ohio State,Bleacher Nation,2024-12-26,Pick 20 - Houston Texans
21,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/chargers.svg,Colston Loveland,TE | Michigan,Bleacher Nation,2024-12-26,Pick 21 - Los Angeles Chargers
22,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/assets/logos/broncos.svg,Tyler Warren,TE | Penn State,Bleacher Nation,2024-12-26,Pick 22 - Denver Broncos
23,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/assets/logos/rams.svg,Emery Jones Jr.,OT | LSURARE,Bleacher Nation,2024-12-26,Pick 23 - Los Angeles Rams
24,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/commanders.svg,Tre Harris,WR | Mississippi,Bleacher Nation,2024-12-26,Pick 24 - Washington Commanders
25,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/steelers.svg,Luther Burden,WR | Missouri,Bleacher Nation,2024-12-26,Pick 25 - Pittsburgh Steelers
26,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/assets/logos/ravens.svg,Walter Nolen,DL | Mississippi,Bleacher Nation,2024-12-26,Pick 26 - Baltimore Ravens
27,Green Bay Packers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/packers.svg,Tyleik Williams,DL | Ohio State,Bleacher Nation,2024-12-26,Pick 27 - Green Bay Packers
28,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/assets/logos/eagles.svg,Landon Jackson,EDGE | Arkansas,Bleacher Nation,2024-12-26,Pick 28 - Philadelphia Eagles
29,Buffalo Bills,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bills.svg,Isaiah Bond,WR | Texas,Bleacher Nation,2024-12-26,Pick 29 - Buffalo Bills
30,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/assets/logos/vikings.svg,Shavon Revel Jr.,CB | East Carolina,Bleacher Nation,2024-12-26,Pick 30 - Minnesota Vikings
31,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/assets/logos/lions.svg,Shemar Turner,DL | Texas A&MRARE,Bleacher Nation,2024-12-26,Pick 31 - Detroit Lions
32,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/assets/logos/chiefs.svg,Aireontae Ersery,OT | Minnesota,Bleacher Nation,2024-12-26,Pick 32 - Kansas City Chiefs
1,New York Giants,https://d9ioojyvhqpok.cloudfront.net/assets/logos/giants_alt.svg,Shedeur Sanders,QB | Colorado,Fantasy Life,2024-12-26,Pick 1 - New York Giants
2,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/assets/logos/browns.svg,Cameron Ward,QB | Miami (FL),Fantasy Life,2024-12-26,Pick 2 - Cleveland Browns
3,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/assets/logos/patriots.svg,Travis Hunter,CB | Colorado,Fantasy Life,2024-12-26,Pick 3 - New England Patriots
4,Jacksonville Jaguars,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jaguars.svg,Will Johnson,CB | Michigan,Fantasy Life,2024-12-26,Pick 4 - Jacksonville Jaguars
5,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/raiders.svg,Jalen Milroe,QB | Alabama,Fantasy Life,2024-12-26,Pick 5 - Las Vegas Raiders
6,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/titans.svg,Tetairoa McMillan,WR | Arizona,Fantasy Life,2024-12-26,Pick 6 - Tennessee Titans
7,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/panthers.svg,Luther Burden,WR | Missouri,Fantasy Life,2024-12-26,Pick 7 - Carolina Panthers
8,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bears.svg,Will Campbell,OT | LSU,Fantasy Life,2024-12-26,Pick 8 - Chicago Bears
9,New York Jets,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jets.svg,Mason Graham,DL | Michigan,Fantasy Life,2024-12-26,Pick 9 - New York Jets
10,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/assets/logos/saints.svg,Abdul Carter,EDGE | Penn State,Fantasy Life,2024-12-26,Pick 10 - New Orleans Saints
11,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/niners.svg,Kelvin Banks,OT | Texas,Fantasy Life,2024-12-26,Pick 11 - San Francisco 49Ers
12,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cowboys.svg,Ashton Jeanty,RB | Boise StatePOPULAR,Fantasy Life,2024-12-26,Pick 12 - Dallas Cowboys
13,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cardinals.svg,Mykel Williams,EDGE | Georgia,Fantasy Life,2024-12-26,Pick 13 - Arizona Cardinals
14,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bengals.svg,Jalon Walker,LB | Georgia,Fantasy Life,2024-12-26,Pick 14 - Cincinnati Bengals
15,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/assets/logos/dolphins.svg,Aireontae Ersery,OT | Minnesota,Fantasy Life,2024-12-26,Pick 15 - Miami Dolphins
16,Indianapolis Colts,https://d9ioojyvhqpok.cloudfront.net/assets/logos/colts.svg,Malaki Starks,S | Georgia,Fantasy Life,2024-12-26,Pick 16 - Indianapolis Colts
17,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/assets/logos/seahawks.svg,Cameron Williams,OT | Texas,Fantasy Life,2024-12-26,Pick 17 - Seattle Seahawks
18,Atlanta Falcons,https://d9ioojyvhqpok.cloudfront.net/assets/logos/falcons.svg,James Pearce Jr.,EDGE | Tennessee,Fantasy Life,2024-12-26,Pick 18 - Atlanta Falcons
19,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bucs.svg,Nic Scourton,EDGE | Texas A&M,Fantasy Life,2024-12-26,Pick 19 - Tampa Bay Buccaneers
20,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/assets/logos/broncos.svg,Tyler Warren,TE | Penn State,Fantasy Life,2024-12-26,Pick 20 - Denver Broncos
21,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/texans.svg,Kenneth Grant,DL | Michigan,Fantasy Life,2024-12-26,Pick 21 - Houston Texans
22,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/assets/logos/rams.svg,Shavon Revel Jr.,CB | East Carolina,Fantasy Life,2024-12-26,Pick 22 - Los Angeles Rams
23,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/chargers.svg,Colston Loveland,TE | Michigan,Fantasy Life,2024-12-26,Pick 23 - Los Angeles Chargers
24,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/steelers.svg,Emeka Egbuka,WR | Ohio State,Fantasy Life,2024-12-26,Pick 24 - Pittsburgh Steelers
25,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/commanders.svg,Isaiah Bond,WR | Texas,Fantasy Life,2024-12-26,Pick 25 - Washington Commanders
26,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/assets/logos/ravens.svg,Shemar Stewart,DL | Texas A&M,Fantasy Life,2024-12-26,Pick 26 - Baltimore Ravens
27,Green Bay Packers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/packers.svg,Benjamin Morrison,CB | Notre Dame,Fantasy Life,2024-12-26,Pick 27 - Green Bay Packers
28,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/assets/logos/eagles.svg,Landon Jackson,EDGE | Arkansas,Fantasy Life,2024-12-26,Pick 28 - Philadelphia Eagles
29,Buffalo Bills,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bills.svg,Derrick Harmon,DL | OregonPOPULAR,Fantasy Life,2024-12-26,Pick 29 - Buffalo Bills
30,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/assets/logos/vikings.svg,Walter Nolen,DL | Mississippi,Fantasy Life,2024-12-26,Pick 30 - Minnesota Vikings
31,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/assets/logos/lions.svg,Mike Green,EDGE | Marshall,Fantasy Life,2024-12-26,Pick 31 - Detroit Lions
32,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/assets/logos/chiefs.svg,Josh Simmons,OT | Ohio State,Fantasy Life,2024-12-26,Pick 32 - Kansas City Chiefs
1,New York Giants,https://d9ioojyvhqpok.cloudfront.net/assets/logos/giants_alt.svg,Shedeur Sanders,QB | Colorado,Pro Football Network,2024-12-25,Pick 1 - New York Giants
2,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/assets/logos/patriots.svg,Travis Hunter,CB | Colorado,Pro Football Network,2024-12-25,Pick 2 - New England Patriots
3,Jacksonville Jaguars,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jaguars.svg,Will Campbell,OT | LSU,Pro Football Network,2024-12-25,Pick 3 - Jacksonville Jaguars
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/titans.svg,Cameron Ward,QB | Miami (FL),Pro Football Network,2024-12-25,Pick 4 - Tennessee Titans
5,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/assets/logos/browns.svg,Abdul Carter,EDGE | Penn State,Pro Football Network,2024-12-25,Pick 5 - Cleveland Browns
6,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/raiders.svg,Tetairoa McMillan,WR | ArizonaPOPULAR,Pro Football Network,2024-12-25,Pick 6 - Las Vegas Raiders
7,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/panthers.svg,Will Johnson,CB | Michigan,Pro Football Network,2024-12-25,Pick 7 - Carolina Panthers
8,New York Jets,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jets.svg,Mason Graham,DL | Michigan,Pro Football Network,2024-12-25,Pick 8 - New York Jets
9,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bears.svg,Mykel Williams,EDGE | Georgia,Pro Football Network,2024-12-25,Pick 9 - Chicago Bears
10,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/assets/logos/saints.svg,Nic Scourton,EDGE | Texas A&M,Pro Football Network,2024-12-25,Pick 10 - New Orleans Saints
11,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/niners.svg,Kelvin Banks,OT | Texas,Pro Football Network,2024-12-25,Pick 11 - San Francisco 49Ers
12,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/assets/logos/dolphins.svg,Malaki Starks,S | Georgia,Pro Football Network,2024-12-25,Pick 12 - Miami Dolphins
13,Indianapolis Colts,https://d9ioojyvhqpok.cloudfront.net/assets/logos/colts.svg,Tyler Warren,TE | Penn State,Pro Football Network,2024-12-25,Pick 13 - Indianapolis Colts
14,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bengals.svg,Kenneth Grant,DL | Michigan,Pro Football Network,2024-12-25,Pick 14 - Cincinnati Bengals
15,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cowboys.svg,Ashton Jeanty,RB | Boise State,Pro Football Network,2024-12-25,Pick 15 - Dallas Cowboys
16,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cardinals.svg,Shemar Stewart,DL | Texas A&M,Pro Football Network,2024-12-25,Pick 16 - Arizona Cardinals
17,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/assets/logos/seahawks.svg,Tyler Booker,IOL | Alabama,Pro Football Network,2024-12-25,Pick 17 - Seattle Seahawks
18,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bucs.svg,James Pearce Jr.,EDGE | Tennessee,Pro Football Network,2024-12-25,Pick 18 - Tampa Bay Buccaneers
19,Atlanta Falcons,https://d9ioojyvhqpok.cloudfront.net/assets/logos/falcons.svg,Jalon Walker,LB | Georgia,Pro Football Network,2024-12-25,Pick 19 - Atlanta Falcons
20,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/chargers.svg,Shavon Revel Jr.,CB | East Carolina,Pro Football Network,2024-12-25,Pick 20 - Los Angeles Chargers
21,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/texans.svg,Nick Emmanwori,S | South Carolina,Pro Football Network,2024-12-25,Pick 21 - Houston Texans
22,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/assets/logos/broncos.svg,Luther Burden,WR | Missouri,Pro Football Network,2024-12-25,Pick 22 - Denver Broncos
23,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/assets/logos/rams.svg,Cameron Williams,OT | Texas,Pro Football Network,2024-12-25,Pick 23 - Los Angeles Rams
24,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/commanders.svg,Isaiah Bond,WR | Texas,Pro Football Network,2024-12-25,Pick 24 - Washington Commanders
25,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/steelers.svg,Emeka Egbuka,WR | Ohio State,Pro Football Network,2024-12-25,Pick 25 - Pittsburgh Steelers
26,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/assets/logos/ravens.svg,Aireontae Ersery,OT | Minnesota,Pro Football Network,2024-12-25,Pick 26 - Baltimore Ravens
27,Green Bay Packers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/packers.svg,Tyleik Williams,DL | Ohio State,Pro Football Network,2024-12-25,Pick 27 - Green Bay Packers
28,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/assets/logos/eagles.svg,Jihaad Campbell,LB | Alabama,Pro Football Network,2024-12-25,Pick 28 - Philadelphia Eagles
29,Buffalo Bills,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bills.svg,Tre Harris,WR | Mississippi,Pro Football Network,2024-12-25,Pick 29 - Buffalo Bills
30,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/assets/logos/vikings.svg,Maxwell Hairston,CB | KentuckyRARE,Pro Football Network,2024-12-25,Pick 30 - Minnesota Vikings
31,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/assets/logos/lions.svg,Jonah Savaiinaea,IOL | Arizona,Pro Football Network,2024-12-25,Pick 31 - Detroit Lions
32,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/assets/logos/chiefs.svg,Benjamin Morrison,CB | Notre Dame,Pro Football Network,2024-12-25,Pick 32 - Kansas City Chiefs
1,New York Giants,https://d9ioojyvhqpok.cloudfront.net/assets/logos/giants_alt.svg,Cameron Ward,QB | Miami (FL),CBS,2024-12-25,Pick 1 - New York Giants
2,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/assets/logos/patriots.svg,Travis Hunter,CB | ColoradoPOPULAR,CBS,2024-12-25,Pick 2 - New England Patriots
3,Jacksonville Jaguars,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jaguars.svg,Will Johnson,CB | Michigan,CBS,2024-12-25,Pick 3 - Jacksonville Jaguars
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/titans.svg,Malaki Starks,S | Georgia,CBS,2024-12-25,Pick 4 - Tennessee Titans
5,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/assets/logos/browns.svg,Will Campbell,OT | LSU,CBS,2024-12-25,Pick 5 - Cleveland Browns
6,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/raiders.svg,Shedeur Sanders,QB | Colorado,CBS,2024-12-25,Pick 6 - Las Vegas Raiders
7,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/panthers.svg,Tetairoa McMillan,WR | Arizona,CBS,2024-12-25,Pick 7 - Carolina Panthers
8,New York Jets,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jets.svg,Kelvin Banks,OT | Texas,CBS,2024-12-25,Pick 8 - New York Jets
9,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bears.svg,Abdul Carter,EDGE | Penn State,CBS,2024-12-25,Pick 9 - Chicago Bears
10,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/assets/logos/saints.svg,Luther Burden,WR | Missouri,CBS,2024-12-25,Pick 10 - New Orleans Saints
11,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/niners.svg,James Pearce Jr.,EDGE | Tennessee,CBS,2024-12-25,Pick 11 - San Francisco 49Ers
12,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/assets/logos/dolphins.svg,Mason Graham,DL | Michigan,CBS,2024-12-25,Pick 12 - Miami Dolphins
13,Indianapolis Colts,https://d9ioojyvhqpok.cloudfront.net/assets/logos/colts.svg,Emeka Egbuka,WR | Ohio State,CBS,2024-12-25,Pick 13 - Indianapolis Colts
14,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bengals.svg,Nic Scourton,EDGE | Texas A&M,CBS,2024-12-25,Pick 14 - Cincinnati Bengals
15,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cowboys.svg,Ashton Jeanty,RB | Boise State,CBS,2024-12-25,Pick 15 - Dallas Cowboys
16,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cardinals.svg,Derrick Harmon,DL | Oregon,CBS,2024-12-25,Pick 16 - Arizona Cardinals
17,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/assets/logos/seahawks.svg,L.T. Overton,EDGE | AlabamaRARE,CBS,2024-12-25,Pick 17 - Seattle Seahawks
18,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bucs.svg,Jalon Walker,LB | Georgia,CBS,2024-12-25,Pick 18 - Tampa Bay Buccaneers
19,Atlanta Falcons,https://d9ioojyvhqpok.cloudfront.net/assets/logos/falcons.svg,Mykel Williams,EDGE | Georgia,CBS,2024-12-25,Pick 19 - Atlanta Falcons
20,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/chargers.svg,Princely Umanmielen,EDGE | Mississippi,CBS,2024-12-25,Pick 20 - Los Angeles Chargers
21,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/texans.svg,Tyler Booker,IOL | Alabama,CBS,2024-12-25,Pick 21 - Houston Texans
22,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/assets/logos/broncos.svg,Tyler Warren,TE | Penn State,CBS,2024-12-25,Pick 22 - Denver Broncos
23,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/assets/logos/rams.svg,Colston Loveland,TE | Michigan,CBS,2024-12-25,Pick 23 - Los Angeles Rams
24,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/commanders.svg,Wyatt Milum,OT | West Virginia,CBS,2024-12-25,Pick 24 - Washington Commanders
25,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/steelers.svg,Jahdae Barron,CB | Texas,CBS,2024-12-25,Pick 25 - Pittsburgh Steelers
26,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/assets/logos/ravens.svg,Kenneth Grant,DL | Michigan,CBS,2024-12-25,Pick 26 - Baltimore Ravens
27,Green Bay Packers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/packers.svg,Shavon Revel Jr.,CB | East Carolina,CBS,2024-12-25,Pick 27 - Green Bay Packers
28,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/assets/logos/eagles.svg,Mike Green,EDGE | Marshall,CBS,2024-12-25,Pick 28 - Philadelphia Eagles
29,Buffalo Bills,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bills.svg,Landon Jackson,EDGE | Arkansas,CBS,2024-12-25,Pick 29 - Buffalo Bills
30,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/assets/logos/vikings.svg,Benjamin Morrison,CB | Notre Dame,CBS,2024-12-25,Pick 30 - Minnesota Vikings
31,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/assets/logos/lions.svg,Walter Nolen,DL | Mississippi,CBS,2024-12-25,Pick 31 - Detroit Lions
32,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/assets/logos/chiefs.svg,T.J. Sanders,DL | South CarolinaRARE,CBS,2024-12-25,Pick 32 - Kansas City Chiefs
1,New York Giants,https://d9ioojyvhqpok.cloudfront.net/assets/logos/giants_alt.svg,Shedeur Sanders,QB | Colorado,College Football Network,2024-12-25,Pick 1 - New York Giants
2,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/assets/logos/patriots.svg,Abdul Carter,EDGE | Penn State,College Football Network,2024-12-25,Pick 2 - New England Patriots
3,Jacksonville Jaguars,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jaguars.svg,Travis Hunter,CB | Colorado,College Football Network,2024-12-25,Pick 3 - Jacksonville Jaguars
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/titans.svg,Cameron Ward,QB | Miami (FL),College Football Network,2024-12-25,Pick 4 - Tennessee Titans
5,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/assets/logos/browns.svg,Will Campbell,OT | LSU,College Football Network,2024-12-25,Pick 5 - Cleveland Browns
6,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/raiders.svg,Jalen Milroe,QB | Alabama,College Football Network,2024-12-25,Pick 6 - Las Vegas Raiders
7,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/panthers.svg,Mason Graham,DL | Michigan,College Football Network,2024-12-25,Pick 7 - Carolina Panthers
8,New York Jets,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jets.svg,Luther Burden,WR | Missouri,College Football Network,2024-12-25,Pick 8 - New York Jets
9,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bears.svg,James Pearce Jr.,EDGE | Tennessee,College Football Network,2024-12-25,Pick 9 - Chicago Bears
10,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/assets/logos/saints.svg,Tetairoa McMillan,WR | Arizona,College Football Network,2024-12-25,Pick 10 - New Orleans Saints
11,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/niners.svg,Will Johnson,CB | Michigan,College Football Network,2024-12-25,Pick 11 - San Francisco 49Ers
12,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/assets/logos/dolphins.svg,Walter Nolen,DL | Mississippi,College Football Network,2024-12-25,Pick 12 - Miami Dolphins
13,Indianapolis Colts,https://d9ioojyvhqpok.cloudfront.net/assets/logos/colts.svg,Shavon Revel Jr.,CB | East Carolina,College Football Network,2024-12-25,Pick 13 - Indianapolis Colts
14,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bengals.svg,Nic Scourton,EDGE | Texas A&M,College Football Network,2024-12-25,Pick 14 - Cincinnati Bengals
15,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cowboys.svg,Ashton Jeanty,RB | Boise State,College Football Network,2024-12-25,Pick 15 - Dallas Cowboys
16,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cardinals.svg,Kenneth Grant,DL | Michigan,College Football Network,2024-12-25,Pick 16 - Arizona Cardinals
17,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/assets/logos/seahawks.svg,Deone Walker,DL | Kentucky,College Football Network,2024-12-25,Pick 17 - Seattle Seahawks
18,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bucs.svg,Jalon Walker,LB | Georgia,College Football Network,2024-12-25,Pick 18 - Tampa Bay Buccaneers
19,Atlanta Falcons,https://d9ioojyvhqpok.cloudfront.net/assets/logos/falcons.svg,Mykel Williams,EDGE | Georgia,College Football Network,2024-12-25,Pick 19 - Atlanta Falcons
20,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/chargers.svg,Malaki Starks,S | Georgia,College Football Network,2024-12-25,Pick 20 - Los Angeles Chargers
21,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/texans.svg,Kelvin Banks,OT | Texas,College Football Network,2024-12-25,Pick 21 - Houston Texans
22,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/assets/logos/broncos.svg,Colston Loveland,TE | Michigan,College Football Network,2024-12-25,Pick 22 - Denver Broncos
23,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/assets/logos/rams.svg,Benjamin Morrison,CB | Notre Dame,College Football Network,2024-12-25,Pick 23 - Los Angeles Rams
24,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/commanders.svg,Aireontae Ersery,OT | Minnesota,College Football Network,2024-12-25,Pick 24 - Washington Commanders
25,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/steelers.svg,Jahdae Barron,CB | Texas,College Football Network,2024-12-25,Pick 25 - Pittsburgh Steelers
26,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/assets/logos/ravens.svg,Mike Green,EDGE | Marshall,College Football Network,2024-12-25,Pick 26 - Baltimore Ravens
